imdbID,Writer
tt0304649,Jahnna Beecham
tt0304649,Malcolm Hillgartner
tt0305963,Savin Yeatman-Eiffel
tt0305963,Régis Jaulin
tt0305963,Lionel Richerand
tt0305963,Alain Serluppus
tt0306021,Sylvester Stallone (characters)
tt0306272,Aharon Feuerstein (creator)
tt0306272,Daniel Paran (creator)
tt0306273,Steven Knight
tt0307715,Gaute Godager
tt0307715,Didrik Tollefsen
tt0307715,Ragnar Tørnquist
tt0307716,Victor Fresco
tt0307734,Fyodor Dostoevsky (novel)
tt0307734,Tony Marchant
tt0309122,Dennis Foon
tt0309122,Yan Moore
tt0309122,Angela Bruce
tt0310416,Charlie Parsons
tt0311087,Nino Kirtadze
tt0312087,Cristina Arellano
tt0312087,Sylvie Coquart
tt0312338,David Wittaker
tt0312662,Yan-Chi Chou
tt0312662,Ming-Chiao Wu
tt0313038,Mike Fleiss
tt0313871,David Lockard (story)
tt0313871,David Lockard (screenplay)
tt0313871,George Kaplan (screenplay)
tt0314972,Jesse Negron
tt0316110,T. Coraghessan Boyle
tt0316110,Jamieson Fry
tt0317842,Nir Bergman
tt0318038,Michael Lalaian
tt0318565,Katerina Bei
tt0318565,Nicos Perakis
tt0319537,Darren Lynn Bousman
tt0319890,Bartosz Werner
tt0319926,Benjamín Zafra
tt0319935,Barbara Slade
tt0320808,John A. Davis
tt0320808,Steve Oedekerk
tt0320808,Keith Alcorn
tt0321256,Gou Suzuki
tt0322008,Lewis Abernathy (story)
tt0322008,Lewis Abernathy (teleplay)
tt0322008,John Jarrell (teleplay)
tt0322008,Robinson Young (teleplay)
tt0326731,Jesper Klevenås
tt0327261,Phil Paul Call
tt0327261,Redwood
tt0327592,Ken Feinberg
tt0327592,Sherilyn Moore
tt0328816,Stuart Maconie
tt0330410,Ricardo Lee (story)
tt0330410,Andrew Paredes (story)
tt0330410,Willy Laconsay (story)
tt0330410,Cesar Montano (story)
tt0330410,Willy Laconsay (screenplay)
tt0330410,Andrew Paredes (screenplay)
tt0330410,Eric Francisco (screenplay)
tt0331834,Tsutomu Takahashi (comic book)
tt0331834,Ryûhei Kitamura (screenplay)
tt0331834,Yudai Yamaguchi (screenplay)
tt0331834,Isao Kiriyama (screenplay)
tt0331834,Eric P. Sherman (english version)
tt0335472,Steven C. Willoughby
tt0336052,Christian O'Reilly
tt0336910,Lab Ky Mo
tt0337680,Paul Flattery (additional dialogue)
tt0337680,Stephen Pouliot
tt0337714,Steve Oedekerk (creator)
tt0337714,John A. Davis
tt0338434,Roger Aylward
tt0338513,Christoph Gottwald
tt0338684,Mark Hentemann
tt0340251,José Roberto Torero
tt0340427,Laurent Gorse
tt0343235,Giannis Tziotis
tt0343235,Yorgos Theotokas
tt0344279,Kelly McPherson
tt0344279,Melissa Jo Peltier
tt0344910,Jun Lana
tt0346091,William Haugse
tt0346091,Richard Ray Perez
tt0346091,Joan Sekler
tt0349776,Keith Johnson
tt0350574,Marcel Schüpbach
tt0351031,Yen Tan
tt0351260,Yen Tan
tt0351522,Julie Trimingham
tt0354264,Jane Fallon
tt0354264,Liz Lewin
tt0356491,Salvador Sáinz
tt0356833,Adam Fine
tt0359178,Andrew Clover
tt0359178,Sam Morrison
tt0365406,Jay Guffey
tt0366123,Johnathan Brownlee
tt0366621,Katsuyuki Sumizawa (screenplay)
tt0366621,Rumiko Takahashi (story)
tt0367933,Julie Anne Wight
tt0368681,Andrew Greenberger
tt0369809,Phil Bertelsen
tt0374580,Abby Kohn
tt0374580,Marc Silverstein
tt0376322,Jay Dahl
tt0378600,Ken Del Vecchio
tt0378600,Nicol Paone
tt0380666,Rodolfo Cervino
tt0393233,Antonio Rubio
tt0396842,Brandon Christopher
tt0396842,Steven Vosburgh
tt0397186,Diana Zaslaw
tt0398094,David Leaf
tt0398094,John Scheinfeld
tt0399908,Michael Engel
tt0399908,Michael Engel
tt0401736,J.M. Kenny
tt0406389,Andrius Serva
tt0406389,Marius Veselis
tt0411396,Yvonne Wunschel (idea)
tt0411396,Yvonne Wunschel (script)
tt0420750,Tommy Cody
tt0422352,Frankie Glass
tt0432180,Evan Bartelheim
tt0442138,Olga Consuegra
tt0451476,Santi Millán
tt0451476,José Corbacho
tt0455377,Pablo Tesoriere
tt0457440,Gili Dolev
tt0460351,Alejandro Szykula
tt0461006,Marcela Fernández Violante
tt0461006,Patricia Rodriguez Saravia (novel)
tt0462072,Paul Goulet
tt0462198,Miguel Ángel Escudero
tt0478068,Benjamin Ringe
tt0481937,Tyler Perry
tt0764258,Alex Cohn
tt0774492,Paula Giannetti
tt0777262,Janet Evanovich (novel)
tt0817532,R.J. Stewart (story)
tt0817532,R.J. Stewart (teleplay)
tt0817532,Rob Tapert (story)
tt0833440,António Gancho
tt0833563,Wei Li
tt0841930,Dario Casetti
tt0841930,Riccardo Gallia (story)
tt0844333,Pnina Grietzer
tt0920472,Jason Brown
tt0961150,Brian Nissen
tt1073223,Gôshô Aoyama (creator)
tt1073223,Kazunari Furuuchi (screenplay)
tt1073223,Michihiko Suwa (planning)
tt1236185,Gerald Olson
tt1267385,Chris Hefner
tt1276499,Freda Lingstrom
tt1286607,Karina Friend Buck
tt1383715,Tony Garofalo
tt1433159,Jeffrey Gatrall
tt1433159,Kane Picoy
tt1433159,Mariana Rossano
tt1501442,Kireet Khurana
tt1505348,Dagmar Baumunk
tt1595894,Greg Robbins
tt1883360,Anthony Lazzara
tt1883361,Anthony Lazzara
tt1929352,Anke Lanak
tt1946134,Mellie Buse
tt1946134,Helen Craig (books)
tt1946134,Katharine Holabird (books)
tt1946134,Barbara Slade (developer)
tt2375085,Hilltop Hoods
tt2375085,Rachael Wegener
tt2960870,Anthony B. Harris
tt3130730,Fernandel Almonor
tt3305302,Salim Khassa
tt4183180,Andrea Gutsche
tt5621578,Frank Brückner
tt5690722,Josep Viciana
tt5773616,Bill Rubens
tt0167260,J.R.R. Tolkien (novel)
tt0167260,Fran Walsh (screenplay)
tt0167260,Philippa Boyens (screenplay)
tt0167260,Peter Jackson (screenplay)
tt0169579,Evan Aaronson
tt0169579,Michael R. Morris
tt0191133,Elizabeth Hunter (story)
tt0191133,Elizabeth Hunter (screenplay)
tt0191133,Saladin K. Patterson (screenplay)
tt0249498,Tom Logan
tt0250967,Agustín Cavalieri
tt0250967,Marcos Meroni
tt0252052,Jim Fitzpatrick (screenplay)
tt0252052,Jim Fitzpatrick (story and play)
tt0270822,Jean Abounader (story)
tt0270822,Donna Kanter (story)
tt0270822,David J. Hill (teleplay)
tt0270822,Jayne Martin (teleplay)
tt0270822,Paul Eric Myers (teleplay)
tt0285823,Robert Rodriguez
tt0289944,Hubert Selby Jr.
tt0289944,Nicolas Winding Refn
tt0295181,Michael Hurst
tt0295181,Nick Moran
tt0303758,Jeffrey Goldenberg (screenplay)
tt0303758,C. Courtney Joyner (screenplay)
tt0306047,Craig Mazin
tt0306047,Pat Proft
tt0306047,Shawn Wayans (characters)
tt0306047,Marlon Wayans (characters)
tt0306047,Buddy Johnson (characters)
tt0306047,Phil Beauman (characters)
tt0306047,Jason Friedberg (characters)
tt0306047,Aaron Seltzer (characters)
tt0310910,Doug Jung
tt0312091,Richard Appel
tt0312664,Sushmita Banerjee (book)
tt0312664,Ujjwal Chatterjee (screenplay)
tt0312664,Shubhrajyoti (dialogue)
tt0314197,Lawrence Thornton (novel)
tt0314197,Christopher Hampton
tt0320037,Jimmy Kimmel
tt0325258,Fred Wolf
tt0325258,David Spade
tt0326886,Scott Brown
tt0326903,Benjamín Ávila
tt0327437,Jules Verne (novel)
tt0327437,David N. Titcher (screenplay)
tt0327437,David Benullo (screenplay)
tt0327437,David Andrew Goldstein (screenplay)
tt0328034,Gorman Bechard
tt0328034,Stephen Manzi
tt0329453,Peter Wortmann
tt0329453,Robert Conte
tt0329575,Laura Hillenbrand (book)
tt0329575,Gary Ross (screenplay)
tt0329804,Nat Bernstein
tt0329804,Mitchel Katlin
tt0332375,Brian Dannelly
tt0332375,Michael Urban
tt0333701,Branko Djuric
tt0337639,Richard Ledes
tt0339625,Malin Schwerdtfeger
tt0342561,Hyeon-jeong Kim (screenplay)
tt0344554,Nick Cassavetes
tt0346947,Carlos Asorey
tt0346947,Antonio Cuadri
tt0348111,Daniel Greenberg
tt0348593,John Irving (novel)
tt0348593,Tod Williams (screenplay)
tt0351940,Peep Pedmanson
tt0352821,Tony Thompson
tt0353168,Stephen Low
tt0353168,Denny Kuhr (story)
tt0353168,Joe Stanley (story)
tt0354226,Larry Hama (script)
tt0354463,Steven McGregor
tt0359153,Devon Greggory
tt0361325,Gideon Raff
tt0362404,Will Smith
tt0362404,Betsy Borns
tt0362404,Jada Pinkett Smith
tt0362893,Jörn Hartmann
tt0362893,Klaus Purkart
tt0362893,Ades Zabel
tt0362893,Biggy van Blond
tt0363307,Tyra Banks
tt0363307,Kenya Barris
tt0363307,Ken Mok
tt0364778,Benjamin Ringe
tt0364990,Tom Muschamp
tt0365428,Bernhard P. Beutler
tt0365888,Rich Wilkes
tt0365969,Louis St. Clair
tt0365969,Jorge Zamacona
tt0366055,Barry Kemp
tt0366055,Norm MacDonald
tt0367276,Anthony Anderson
tt0367277,Torben Lund
tt0367277,Rasmus Hundsbæk
tt0367854,Hans Rodionoff
tt0368026,Colin Costello
tt0368026,Stephanie Alese Jorden
tt0369910,Beth Polson (story)
tt0369910,Robert Tate Miller (teleplay)
tt0371475,John Kricfalusi
tt0372167,Pamela Katz
tt0372808,Paul Alexander
tt0373474,Glenn Davis
tt0373474,William Laurin
tt0373475,Eric Fourniols
tt0373475,Vincent Moscato
tt0374250,Keith Myers
tt0374900,Jared Hess
tt0374900,Jerusha Hess
tt0377054,Eduardo Quiroz
tt0377054,Jose Quiroz
tt0377066,David Ciesielsky (screenplay)
tt0378194,Quentin Tarantino
tt0378194,Quentin Tarantino (character The Bride)
tt0378194,Uma Thurman (character The Bride)
tt0380002,Steffen Schneider
tt0380002,Lutz Hofmann
tt0381077,Maurice Barthélémy
tt0381176,Rushmore DeNooyer
tt0381534,Johannes Wolf
tt0382262,Noritaka Funamizu (scenario director: Decisions
tt0382262,Decisions)
tt0382262,Noritaka Funamizu (scenario director: Outbreak)
tt0382262,Yasunori Ichinose (scenario director: Hellfire)
tt0382262,Yuji Matsumoto (scenario director: The Hive)
tt0382262,Koichi Okada (scenario director: Below Freezing Point)
tt0382898,Julio Medem
tt0383457,Bo Svenson
tt0383460,Ziad H. Hamzeh
tt0383846,Miroslav Momcilovic
tt0384282,Dan T. Hall
tt0384282,Cindy Parrish
tt0384859,Bobby Miller
tt0385092,Massimo Ceccherini
tt0385092,Giovanni Veronesi
tt0385664,Alan Bernhoft (screenplay)
tt0385664,Robert Ricucci (screenplay)
tt0385664,Robert Louis Stevenson (novel)
tt0385842,Antonio Onetti
tt0386149,Mark Tavener
tt0387541,Diane Duane
tt0387541,Peter Morwood
tt0387541,Uli Edel
tt0387564,Leigh Whannell
tt0387564,James Wan (story)
tt0387564,Leigh Whannell (story)
tt0387714,Kate Boutilier
tt0387714,Eryk Casemiro
tt0387714,Monica Piper
tt0387813,Soeren Schulz
tt0388175,Brandon Christopher (head writer)
tt0388838,Olivier Assayas
tt0389001,Michael Schmitt
tt0389121,Suzanne Finstad (book)
tt0389121,Warren G. Harris (book)
tt0389121,Elizabeth Egloff (teleplay)
tt0390205,Ha Yoo
tt0391053,Jennifer Jordan
tt0391053,David Parks
tt0391053,David Parks
tt0395560,Orlando Senna (script consultant)
tt0395560,Silvio Tendler
tt0396641,J.G. Ballard (short story)
tt0396641,Richard Curson Smith (adaptation)
tt0397372,Jacob Groll
tt0398463,Tony Grounds
tt0398883,Paolo Sorrentino
tt0401224,Larry Barber
tt0401224,Paul Barber
tt0401339,Kylie Eddy
tt0401913,Trevor J. Colgan
tt0401913,Gerry Gregg
tt0401913,Eoghan Harris
tt0401913,David Blake Knox
tt0401913,Tim Palmer
tt0402096,Allie Raye
tt0402096,Douglas Spain
tt0403198,Talmadge Heyward
tt0403687,Ed Koskey
tt0403924,Andrew Dwyer
tt0405935,David Yarovesky
tt0406040,J.R.R. Tolkien (characters)
tt0406304,Gibbs Davis
tt0406304,Charles Salzberg
tt0406305,Mike Capps
tt0406388,Andrius Serva
tt0406388,Marius Veselis
tt0407263,Douglas Brinkley (book)
tt0407263,Joseph Dorman
tt0407290,Jeremy Clarkson
tt0410710,Stormy Daniels
tt0410747,Con Stough
tt0411263,Seok-Hwan Choi
tt0411263,Sang-Hyo Yook
tt0411618,Edward Einhorn (screenplay)
tt0411618,Bryan Enk (screenplay)
tt0411618,William Shakespeare (play)
tt0411747,Nigel Atkinson
tt0411747,Huw Davies
tt0411957,Sean Gullette
tt0413053,João Canijo
tt0413053,Pierre Hodgson
tt0413053,Mayanna von Ledebur
tt0413956,Lars von Trier
tt0414000,Stuart Perelmuter
tt0414000,Gil D. Reyes
tt0415005,Jonah Kaplan
tt0417737,Peter Liechti
tt0418141,George Doty IV
tt0418141,Ed Scharlach
tt0418141,Mark Turosz
tt0418141,Joe Sichta (story)
tt0419275,Michael Schlossman
tt0420318,Wojciech Smarzowski
tt0422170,Tate English (story)
tt0422170,Don Swaynos (story)
tt0424903,Olivier Ayache-Vidal
tt0425271,Carl Knutson
tt0425733,Thom Harp
tt0426521,Aaron Blitzstein (consultant writer)
tt0426521,Liz Cackowski
tt0426521,Tommy Cody
tt0426521,Will Forte
tt0426521,Jonathan Green
tt0426967,Raquel Cedar
tt0427437,Raul Maximo Cortes
tt0428043,Amy Karl
tt0428441,Mark Jonathan Harris
tt0428517,Brad Armstrong
tt0428629,Dan Stephenson
tt0429296,Hayrettin Demirbas
tt0429631,Bob Gale (creator)
tt0429631,Bob Gale (story)
tt0429774,Love
tt0430287,Bryan Smith
tt0430575,William Mullins
tt0432967,Marcel Häußler
tt0432967,Wolfgang Quest
tt0432977,Peter Liechti
tt0433458,Chris Avellone (lead writer)
tt0433458,Ferret Baudoin
tt0434009,Rich Hall
tt0434009,Mike Wilmot
tt0436035,Bradley King
tt0436374,Guillem Morales
tt0436397,Nils De Coster
tt0436993,Yiorgos Chrissovitsanos
tt0437996,Cedric K. Williams
tt0437996,Cedric Williams
tt0438293,Janet Beard
tt0438933,Félix Cábez
tt0439341,Jennifer Pertsch
tt0439341,Tom McGillis
tt0439475,Tom Griswold
tt0439475,Bob Kevoian
tt0439475,Ricky Rydell
tt0439987,Roberto Velázquez Bolio
tt0441970,Yasuo Furuhata
tt0441970,Yumiko Inoue
tt0441970,Rei Nakanishi (novel)
tt0442628,Howard Goodall
tt0442651,Jim Casey
tt0442687,Christopher Blohm (story)
tt0442860,Rick Venable
tt0442860,Emily Anderson
tt0445861,David Leaf
tt0445861,John Scheinfeld
tt0446712,Eugene Pack
tt0447435,Michael Dillenberger
tt0447435,Anthony Ripoli
tt0447435,Lily Tillers
tt0451183,Mitchell Lichtenstein
tt0451621,Juan Cavestany (play)
tt0451621,Juan Cavestany (screenplay)
tt0454308,Claudio Bartel
tt0454308,Jorge Leandro Colás
tt0454308,Salvador Savarese
tt0455373,Milagros Mumenthaler
tt0456345,Laurent Bouzereau
tt0457683,Cliff Richhart
tt0457683,Marc Swank
tt0461909,Ronnie Barker
tt0461909,Spike Mullins
tt0461909,David Nobbs
tt0461909,Michael Palin
tt0461909,David Renwick
tt0461909,Peter Robinson
tt0461909,Laurie Rowley
tt0461909,John Sullivan
tt0461909,Freddy Usher
tt0461909,Peter Vincent
tt0466340,Tatti Sanguineti
tt0468706,Joseph Gregor (libretto)
tt0471708,Simon Pegg (concept)
tt0471708,Edgar Wright (concept)
tt0471908,Gabriel Otero
tt0472641,Adrià Cuatrecases
tt0472753,Rafael Portillo
tt0474981,Josefina Azulay
tt0475387,Stephanie Saxe
tt0476511,Leora Kamenetzky
tt0477466,Ruby Hamad
tt0479605,Mishka Saal
tt0480805,Maninder Chana
tt0483287,Jamin Winans
tt0485662,Teresa Renn
tt0488659,Nacho Vidal
tt0489948,Hugh Brody
tt0489948,Craig Foster
tt0489948,Damon Foster
tt0492670,Roger Ibáñez
tt0756310,Abhay Chopra
tt0758033,Donny Osmond
tt0774034,Harrison Chadd
tt0774034,Justine Gillmer
tt0774034,Will Temple
tt0774674,Patricia Ferreira
tt0774674,Virginia Yagüe
tt0791362,Claudia Ortega
tt0798724,Rene Hernandez
tt0798724,Evan Holt
tt0814054,Tom Humphries
tt0819852,Christian Mouchart
tt0819852,Anne Giafferi
tt0820997,Sebastien Laban
tt0833941,Stephen White
tt0836640,Doug Morris (story)
tt0836640,Rodney Washington (screenplay)
tt0877503,Aidan McManus
tt0891551,Zach Helm
tt0944948,Michael Goldburg
tt1055304,David Grubin
tt1063088,Ganna Oganisyan-Slutski (associate writer)
tt1152685,Will Aslett
tt1152685,Sara Kenney (drama script)
tt1183150,Thomas Stuber
tt1192479,Gita Desai
tt1227186,Julio Rodrigues
tt1260599,Robin Newell
tt1360071,Petter Lennstrand
tt1363095,Magnus Carlsson
tt1432084,Katherine Ipjian
tt1432895,Yossan Hasegawa (original idea)
tt1486562,Kurt Hemmer
tt1512213,Lyn Elliot
tt1533043,Stephen Sakellarios
tt1534817,Márcio B. Venturi (screenplay)
tt1538957,Eric Leiser
tt1566209,Jennifer Shiman
tt1568844,Marcus Claessen
tt1780925,Jerry Chan
tt1789682,David Hartman
tt1897978,John K. Webster
tt1934265,Paco Torres
tt1948536,M.J. Alhabeeb Jr.
tt1956597,Robert Reeves
tt1982107,Alfredo Manevy
tt1982107,Luiz Montes
tt1988537,David Goodall
tt2058105,Chris R. Notarile (script)
tt2100439,Uwe Huber
tt2248698,Malin Erixon
tt2250334,Boodee Keerthisena
tt2325817,Eilif Bremmer Landsend
tt2434144,Takeyuki Morikaku (screenplay)
tt2727656,Rob Meyer
tt2860498,Alan Goodman
tt3189106,Maksim Tukhanin
tt3539292,Teymur Daimi
tt4118530,Trick Daddy
tt4118530,Lil Jon
tt4118530,Twista
tt4191116,Andrea Gutsche
tt4440132,Flora Perez-Garay
tt5921604,Joe Torry
tt0121766,George Lucas
tt0216584,Jane Walker Wood (story)
tt0216584,Steven Manners (story)
tt0216584,Jane Walker Wood (screenplay)
tt0216584,Steven Manners (screenplay)
tt0216584,Gary Sinyor (screenplay)
tt0216746,Paul Fleischman (based on the novel by)
tt0216746,Robert LoCash (screenplay)
tt0216746,Andrew Lane (screenplay)
tt0257516,Kevin Williamson
tt0293008,Mark Montefiore
tt0293008,Josh Gal
tt0340163,Robert Crais (novel)
tt0340163,Doug Richardson (screenplay)
tt0365885,Mike Binder
tt0368413,Nathan Todd Sims
tt0378761,Bruce Dellis
tt0380389,Mike Jefferies (story)
tt0380389,Adrian Butchart (screenplay)
tt0380389,Dick Clement (screenplay)
tt0380389,Ian La Frenais (screenplay)
tt0380389,Mike Jefferies (screenplay)
tt0388727,Kim Fupz Aakeson
tt0390614,Aatish Kapadia
tt0397105,Bruce Terris (screenplay)
tt0397105,Bruce Terris (story)
tt0397105,Rick Rose (story)
tt0397105,Jennifer Vincent (story)
tt0397105,Rick Rose (screenplay)
tt0397853,James Lew
tt0400525,Richard Russo (screenplay)
tt0400525,Robert Benton (screenplay)
tt0400525,Scott Phillips (novel)
tt0400675,Mose Richards
tt0401855,Danny McBride (screenplay)
tt0401855,Len Wiseman (story)
tt0401855,Danny McBride (story)
tt0401855,Kevin Grevioux (characters)
tt0401855,Len Wiseman (characters)
tt0401855,Danny McBride (characters)
tt0403508,Ann Brashares (novel)
tt0403508,Delia Ephron (screenplay)
tt0403508,Elizabeth Chandler (screenplay)
tt0407304,Josh Friedman (screenplay)
tt0407304,David Koepp (screenplay)
tt0407304,H.G. Wells (novel)
tt0407761,John Alexander Jimenez
tt0407761,Wayne Wallace
tt0408961,Andrew Shaifer
tt0408961,Josh Stolberg
tt0409937,Alexandre Apergis (dialogue)
tt0409937,Jérôme Apergis (dialogue)
tt0409937,Alain Kappauf
tt0409937,Frédéric Le Bolloc'h (dialogue)
tt0409937,Yvan Le Bolloc'h
tt0409937,Jean-Pierre Pascaud (dialogue)
tt0409937,Bruno Solo
tt0411805,William Butler
tt0411805,Aaron Strongoni
tt0417907,Jeff Zuber
tt0417907,Tom Zuber
tt0420396,Fred Barron
tt0420982,Stas Mokhnachev
tt0420982,Aleksey Balabanov
tt0426616,Eric DelaBarre
tt0430357,Michael Mann
tt0430357,Anthony Yerkovich (TV series)
tt0430912,Leora Barish
tt0430912,Henry Bean
tt0430912,Joe Eszterhas (characters)
tt0432236,Bev Doyle
tt0432236,Richard Kurti
tt0432236,Robert Louis Stevenson (novel)
tt0433308,Jon Kroll
tt0433649,J.P. Martin
tt0435625,Neil Marshall
tt0435937,Stephen Volk
tt0437696,Morgan Spurlock
tt0441633,Veli-Pekka Hänninen (story)
tt0441793,Burkhard Feige
tt0441793,Heike Schmidt (idea)
tt0445772,Fred Bronson
tt0445772,Bridget Carpenter
tt0445772,Richard Christian Matheson
tt0445772,Eugene Pack
tt0445772,Randall Wallace
tt0446048,Tim Conrad
tt0447936,Oliver Storz
tt0448123,Boon Collins
tt0449558,Kambuzia Partovi
tt0449558,Rasoul Sadrameli
tt0449558,Marjan Shirmohammadi
tt0450077,Irwin Shaw (story)
tt0450077,Aleksandr Strizhenov
tt0450894,Mark Leveson
tt0450894,Dan Patterson
tt0450955,Terence Winter (screenplay)
tt0450979,Nick Karner (adaptation)
tt0450979,Mark Thomas (creator)
tt0452594,Jeremy Garelick (screenplay)
tt0452594,Jay Lavender (screenplay)
tt0452594,Vince Vaughn (story)
tt0452594,Jeremy Garelick (story)
tt0452594,Jay Lavender (story)
tt0454082,Glen Morgan (screenplay)
tt0454082,Roy Moore
tt0454481,Manish Gupta
tt0454481,Kona Venkat
tt0454883,Stefan Arsenijevic (episode)
tt0454883,Georgi Gospodinov (episode)
tt0454883,Nadejda Koseva (episode)
tt0454883,Mait Laas (episode)
tt0454883,Kornél Mundruczó (episode)
tt0454883,Cristian Mungiu (episode)
tt0454883,Viktória Petrányi (episode)
tt0454883,Bojan Vuletic (idea)
tt0454883,Jasmila Zbanic (episode)
tt0454886,Iain Kennedy
tt0454886,Peter Spirer
tt0454921,Steve Conrad
tt0455467,Jamie Duneier
tt0455712,Richard Easter
tt0455979,Stephen Jules Rubin
tt0456452,Hans Christian Andersen (fairy tale)
tt0456452,Jørgen Bing (adaptation)
tt0456452,Christian Sommer (concept)
tt0456547,Anders Lund Madsen
tt0456547,Peter Lund Madsen
tt0456810,Zeljko Pervan
tt0457074,Aleksandr Karpov (screenplay)
tt0457074,Oleg Stepchenko
tt0460985,John Vasicek
tt0461576,Gonzalo Lira
tt0461576,Julio Rojas
tt0461576,Paula del Fierro
tt0462076,Alber Ponte
tt0462076,Nacho Vigalondo
tt0462498,Rehana Mirza (screenplay)
tt0462498,Kiran Merchant (screenplay)
tt0462498,Chandu Shah (concept)
tt0463953,Dan Berendsen
tt0463953,Tony Gilroy (characters)
tt0465774,Matt Maiellaro
tt0466040,Kanye West (idea)
tt0468083,Fernando Hurtado
tt0468083,Adrián Portugal
tt0469065,Joshua Rebell
tt0470634,Andreu Buenafuente
tt0470642,Jack Kenny
tt0473311,Roberto Levermann
tt0473488,Dito Montiel (book)
tt0473488,Dito Montiel
tt0475119,Falk Werner
tt0476265,Kelly Broad
tt0476265,Hattie Dalton
tt0476570,Rajeena Sangar
tt0476570,Joe Tunmer
tt0477641,Serena Torres Webbe
tt0478409,Luiso Berdejo
tt0478409,Jorge Dorado
tt0478929,Mike Bullen
tt0479219,Eric Williford (story)
tt0479219,Franklin Guerrero Jr. (story)
tt0479219,J. Michael Whalen (story)
tt0479219,Eric Williford (screenplay)
tt0479601,Jesper Pingo Lindström
tt0479855,Chase Gordon
tt0479915,Martin Ian Smith
tt0481466,Greg Andersson
tt0482109,Peter Cox
tt0482109,Philip Smith
tt0483257,Douglas James Mumby (story)
tt0483716,Rahim Jamal
tt0485241,Philippe Lioret
tt0485241,Olivier Adam
tt0485886,Manuel Martínez
